text,is_subjective
"selama pengawasan Quinn terhadap Tasha, merencanakan momen yang tepat untuk melakukan pembunuhan, dia menjadi tergila-gila dengan kecantikan dan kepolosannya yang murni.",0
teman gadis modelnya (anne marie johnson) segera meninggalkannya.,0
"[efek digital] mengingatkan saya pada kartun monty python tua yang belum sempurna karya Terry Gilliam, di mana dia akan memotong gambar dari gambar dan foto dan menempelkannya bersama-sama.",1
republik galaksi berada di ambang perang saudara.,0
"alien muncul di PBB dan mengundang bumi untuk bergabung dengan federasi galaksi, namun ada kendalanya, bumi memiliki waktu satu tahun untuk mengirim tim petarung terbaiknya untuk mewakili palnet dalam turnamen pertarungan tak bersenjata.",0
pandangan lamban terhadap revolusi Perancis dari sudut pandang bangsawan.,1
"dan potongan cewek seksinya sangat lucu, dan penampilan Schneider sangat bagus, sangat disayangkan bahwa sebagian besar filmnya -- sekali lagi, seperti pada hewannya -- berantakan.",1
"anak-anak pasti akan menyukainya. dan untuk orang dewasa, film ini dapat ditonton dengan sempurna dalam cara yang kasar.",1
penanganan labute yang hati-hati membuat bahan tersebut tampak asli dan bukannya palsu.,1
"serangkaian ancaman kematian yang misterius dan aneh segera menimbulkan gejala paranoia, ketenaran yang tidak diinginkan, dan akhirnya kasus writer's block yang parah.",0
rumah petak adalah antologi empat cerita yang masing-masing karakternya tinggal di gedung yang sama dan berjalan di garis tipis antara yang baik dan yang jahat.,0
"ringan reflektif dan menghibur secara konsisten, keberuntungan adalah pengalihan yang mudah dilakukan.",1
Hal ini memicu pertarungan kecil antara keduanya untuk menguasai pasokan ikan.,0
"detektif pembunuhan kota new york vincent lamarca telah menempa karir yang panjang dan cemerlang di bidang penegakan hukum, menjadikan dirinya terkenal sebagai orang yang sangat berkomitmen terhadap pekerjaannya.",0
"sering kali menjadi gila dalam cara yang baik, tetapi sebagian besar filmnya tidak rata.",1
keseimbangan film menunjukkan balas dendam dari berbagai pihak yang dirugikan.,0
jumlah jenazah pada akhirnya mengesampingkan sedikit hal yang kita pelajari selama ini tentang penebusan perwakilan.,1
"mereka mengikutinya ke las vegas, di mana dia seolah-olah melakukan ""penelitian"" untuk musim berikutnya, namun sebenarnya mengejar impian untuk menjadi penari di sebuah pertunjukan vegas.",0
"Saya tidak tahu apakah kelemahan akan mengubah Bill Paxton menjadi sutradara papan atas, tetapi dia dapat beristirahat dengan tenang karena mengetahui bahwa dia telah membuat setidaknya satu film horor yang sangat bagus.",1
harus menarik lebih dari sekedar penggemar hip-hop garis keras.,1
itu difilmkan di atas dan di bawah air selama periode dua tahun.,0
"seorang ayah yang dulu berkuasa, namun kini sakit-sakitan dan penuh penyesalan, mati-matian mencari putranya yang terasing.",0
"Frank Capra memainkan cerita ini secara langsung. namun film tahun 2002 tersebut tidak begitu mempercayainya, dan memecah suasana dengan adegan 'komedi' yang tidak pantas bukan kepalang.",1
"komedi/drama pahit yang penuh kehidupan, gerakan tangan, dan beberapa pria Italia yang sangat menggemaskan.",1
"claire memiliki pekerjaan yang bagus, teman-teman yang baik, dan pernikahan yang hebat.",0
"una bekerja sebagai kasir supermarket yang membenci pekerjaannya dan semua orang di sekitarnya: pelanggan, manajer, staf.",0
Potret dramatis Schütte tentang sang seniman tiga hari sebelum kematiannya menawarkan sedikit spekulasi menarik mengenai masalah yang dihadapi Brecht ketika hidupnya hampir berakhir.,1
"tsai memiliki reputasi yang layak sebagai salah satu penata visual terhebat di dunia perfilman, dan dalam film ini, setiap pengambilan gambar meningkatkan penampilan yang luar biasa.",1
"jika Anda melihat pinokio Benini di taman umum, Anda akan menarik anak-anak Anda dan lari lalu mungkin memanggil polisi.",1
"dimulai dengan janji yang luar biasa, memperkenalkan premis yang menarik dan memikat, hanya untuk menjadi mangsa klise-klise penulisan skenario yang menenggelamkannya lebih cepat daripada kapal barang yang bocor.",1
namun upaya artistiknya yang kurang dikenal sebelum peranglah yang mengasah matanya yang tajam.,0
"omong kosong film pedang yang umum, tapi bukannya tanpa gaya.",1
"romansa klasik selalu melibatkan formula tertentu: laki-laki bertemu perempuan, laki-laki kehilangan perempuan, laki-laki mendapat perempuan. sepeda beijing adalah sebuah romansa, kecuali yang dicintainya adalah sebuah sepeda dan bukan seorang gadis.",1
"setelah sepuluh tahun diabaikan oleh produser rekaman, jacki dan bandnya menemukan harapan pada satu produser yang berjanji untuk melihat mereka bermain dan mempertimbangkan mereka untuk kontrak.",0
"Kritikus juga perlu ditertawakan, dan tayangan mtv yang terkenal terlalu ekstrem untuk TV ini menyajikan hal-hal yang keterlaluan, memuakkan, dan memihak dalam tumpukan yang mengepul dan mendalam.",1
"Pertengkaran anak laki-laki, seperti rangkaian pukulan yang dilancarkan pada guei, melemahkan elemen plot cerita yang lebih serebral dan disukai.",1
"dalam film dokumenter ini, Hannah, seorang mantan pengungsi, kembali bersama putranya yang berusia 55 tahun ke penjara tempat dia ditahan selama lima tahun.",0
semuanya tergantung pada apakah Anda dapat menoleransi leon barlow. saya tidak bisa.,1
sersan detektif lapd mitch preston hanya peduli melakukan pekerjaannya dan menangkap penjahat.,0
di jalur yang benar menuju sesuatu yang menyeramkan dan efektif. . . hanya dibutuhkan lebih dari sekadar pria berkostum bullwinkle untuk sampai ke sana.,1
"meskipun banyak perbedaan, mereka membentuk hubungan jangka panjang yang penuh kasih.",0
shaun brumder adalah anak peselancar lokal dari orange county yang bercita-cita pergi ke Stanford untuk menjadi seorang penulis dan melepaskan diri dari rumah tangga keluarganya yang disfungsional.,0
sebuah film thriller psikologis yang tidak menyenangkan namun terkadang efektif yang patut diperhatikan karena film di mana aktris Sandra Bullock memulihkan aktingnya kembali.,1
fitur pertama yang berani dan liris dari raja amari ini memperluas anggapan bahwa wanita paruh baya hanya ingin bersenang-senang menjadi sebuah risalah yang membangkitkan semangat tentang pemberdayaan sensual.,1
sebuah drama indie-psikologis yang menegangkan tentang l . A . gadis yang bingung antara menghadapi ketidakpastian hidup di bawah arahannya sendiri atau “kehidupan baik” yang disediakan oleh seorang dermawan paruh baya yang kaya dan meresahkan.,0
"saat makan siang, michael, memainkan kartu balapnya yang sudah biasa digunakan untuk membuat victoria tidak nyaman.",0
"pada dasarnya, noyce hanya ingin menceritakan kisah yang bagus, dan dia melakukannya.",1
"meskipun materi [cho] bersifat cabul, namun mencakup semua pendatang, tanpa memandang jenis kelamin, seksualitas, ras, atau etnis. dan tidak pernah lebih tajam -- atau lebih lucu -- dibandingkan di sini .",1
"sebagai film thriller balas dendam, film ini berguna, tetapi tidak benar-benar memberikan kesenangan bersalah yang nikmat dari versi film yang lebih baik.",1
"tentu saja bukan film biografi, Nijinsky kekurangan fakta, tapi panjang ekspresi.",1
tokoh-tokoh kecil di sekitar [bobby]. . . membentuk mosaik perkotaan yang berpasir.,1
ini adalah versi film dari drama yang mereka tulis berdasarkan lebih dari 200 wawancara yang mereka lakukan di laramie.,0
"Hebatnya, wanita tak bersenjata milik Dionysus mengalahkan pasukan kerajaan Pentheus yang tangguh.",0
"terguncang, shae pergi memeriksa putrinya yang masih kecil, sophie.",0
"itu psikedelik, menghipnotis, menggembirakan dan mengerikan, dan kadang-kadang sekaligus.",1
kejadian di film ini sangat aneh sehingga sejujurnya saya tidak pernah tahu apa yang akan terjadi selanjutnya.,1
"film ini kurang dalam hal ketegangan, kefasihan, tantangan rohani – hal-hal yang membuat kisah-kisah asli Perjanjian Baru begitu menarik selama 20 abad.",1
"penuh warna dan tampak ringan sampai tiba-tiba menarik permadani dari bawah Anda, pengerjaan ulang cerita rakyat oleh pembuat film burkinabe dani kouyate yang akarnya berasal dari tradisi lisan abad ke-7 juga merupakan alegori politik yang tajam.",1
"diceritakan secara terpencar-pencar, film tersebut hanya sesekali menghidupkan cerita, wajah, dan musik dari para pria yang menjadi subjeknya.",1
"ketika gen kembali, lillian mendapati dirinya terjebak di tengah-tengah segitiga.",0
"Film Hawke, sebuah pemborosan hampir dua jam yang membosankan dan megah, tidak memberi tahu Anda apa pun kecuali bahwa hotel Chelsea saat ini dihuni oleh artis-artis yang cengeng, menyedihkan, kelaparan, dan tidak berbakat.",1
"David Wiseman, sebelas tahun, tergila-gila pada kriket tetapi tidak pandai dalam hal itu.",0
"kedua pria kulit hitam (Anthony dan Michael) sukses di dunia teknologi tinggi Silicon Valley, dan sudah saling kenal sejak kecil.",0
"Ilmuwan gila favorit semua orang, Herbert West, saat ini dipenjara setelah bukti negara diajukan terhadapnya oleh mantan asistennya, dan Cain.",0
"perpaduan unik yang menawan antara potret karakter, komedi romantis, dan film thriller sepanjang waktu.",1
"Danny, yang menjadi paranoid dan membuat keributan saat menonton ""der lift"" (film horor Jerman berkulit hitam & putih) dan berhalusinasi menjadi aktor dalam film tersebut (ricardo mamood), tidak berani menghadapi seorang gadis setengah usianya.",0
"setelah pengalaman masa lalu mereka, mereka tahu bahwa mereka dikutuk tetapi mereka tidak pernah membayangkan apa yang menanti mereka. . .",0
"bagaimana perasaanmu jika ketika kamu terbangun, mimpi buruk baru saja dimulai?",0
"waktu berhenti dalam banyak hal dibandingkan dengan clockstoppers, sebuah film thriller fiksi ilmiah yang malas dan tak berkesudahan.",1
"bersama-sama mereka menyusun kisah cinta terlarang, dan menemukan salah satu kisah mereka sendiri.",0
"tidak seperti upaya penyutradaraannya, la femme nikita dan profesional, transporter tidak memiliki perspektif besson sebagai pendongeng.",1
sebuah kasus yang menakjubkan dan sangat meyakinkan bagi Kissinger sebagai penjahat perang yang penuh perhitungan.,1
benar-benar terasa seperti pendek yang direntangkan hingga mencapai panjang fitur.,1
bukti hidup akan kekuatan yang eksentrik dan aneh. fakta bahwa itu tidak terlalu bagus hampir tidak penting.,1
scott memberikan penampilan luar biasa dalam potret lothario modern yang menakjubkan ini.,1
"gurun California, di suatu tempat antara lembah kematian dan los angeles.",0
"Melalui semua itu, Carlos memahami bahwa jika ia ingin menjadi seorang komikus, ia harus terlibat dengan komunitas tempat ia berasal, membawa pengalaman itu kembali ke dunia nyata, dan menuangkannya ke dalam karyanya.",0
"cukup eksentrik untuk mencegah kelesuan, debut sadar diri caruso juga sangat bisa dilupakan.",1
"ceritanya mungkin bukan hal baru, tapi sutradara Australia John Polson, yang membuat debut film fitur Amerikanya, memeriahkannya dengan cerdik.",1
"sebuah aksi sulap yang luar biasa, sebuah fatamorgana sejarah yang menakutkan yang ditimbulkan dalam satu sapuan tangan oleh alexander sokurov.",1
komedi kecemburuan romantis yang gemerlap dan sering kali lucu. . . attal sangat mirip dengan robert deniro muda sehingga sepertinya film tersebut seharusnya diberi judul 'suamiku travis bickle'.,1
Zack mengambil isyaratnya dan pertunjukan sulap dimulai tetapi siapa yang ingin menonton?,0
"ketika ayahnya, yang memiliki toko bodega di ketinggian, tertembak dalam upaya perampokan, Carlos terpaksa menunda mimpinya dan menjalankan toko tersebut.",0
"awara paagal deewana adalah sebuah komedi aksi, yang berkisah tentang seorang dokter gigi yang secara tidak sengaja terjebak di dunia bawah dan masuk dalam perjalanan roller coaster.",0
"kurang kuat secara sinematik dibandingkan dengan film yang tenang dan mendalam, yang memang memiliki kekuatan tersendiri.",1
naskahnya memiliki bumbu yang lebih sedikit dibandingkan burger tikus dan keterampilan bertarung batunya lebih sesuai dengan Steven Seagal.,1
"sebuah film dokumenter yang mencekam tentang James Nachtwey, seorang warga New York yang telah lama menjadi penulis sejarah kesengsaraan dunia yang sangat dihormati.",1
sebuah drama menyentuh tentang usia tua dan kesedihan dengan penampilan tour de force oleh michel piccoli.,1
pemeriksaan kehidupan akuatik di lepas pantai semenanjung baja california di Meksiko ini menawarkan cara yang mengasyikkan untuk menunjukkan keunggulan format imax.,1
"Sang sutradara, Mark Pellington, melakukan pekerjaan luar biasa dalam menciptakan suasana yang menyeramkan dan mengancam, meskipun sayangnya semua cerita yang ada hanyalah kilatan lampu merah, suara gemeretak, dan benturan di kepala.",1
"Aku mengaguminya, khususnya akhir cerita yang tidak terduga.",1
"narasinya mungkin lebih longgar daripada gigi susu, tetapi orgasme amy adalah eksplorasi sensualitas dan identitas wanita yang sangat mendalam.",1
"filmnya menarik dan indah, namun bagi Anda yang membaca bukunya kemungkinan besar akan kecewa.",1
"diadaptasi dari monolog dalam serial radio ""blue jam"", film pendek pertama Chris Morris adalah komedi hitam yang menghantui tentang seorang pria yang tidak lagi menggunakan namanya karena dia memutuskan bahwa dia tidak lagi pantas mendapatkannya, dan seekor anjing bernama rothko yang mengatakan dia adalah pengacara pria itu.",0
"bukan sembarang gaun, ini adalah gaun pesta paris tahun 1930-an, dan hasrat kedua wanita tersebut terhadapnya ditampilkan secara lucu hingga akhir yang pahit.",0
"Penuh dengan ide, film penghasut Amerika Michael Moore adalah pemeriksaan bertele-tele terhadap budaya senjata Amerika yang menggunakan modus operandi penyaliban melalui penjajaran.",1
"laporan akhir: bagus, ya; bagus, tidak.",1
"dia menyelamatkan orang kaya (sharad kapoor) dari para preman, yang menawarinya pekerjaan.",0
"seiring berkembangnya revolusi seksual, dan berkembangnya sub budaya pornografi, John adalah orangnya.",0
"melakukan kejahatan sepanjang malam yang memberi mereka hadiah sepuluh ribu dolar atas kejahatan mereka sendiri, berkat nasib yang aneh.",0
"kedua jedi tersebut kemudian dikirim dalam dua misi berbeda, anakin dikirim ke naboo bersama padme dan obi-wan dikirim ke planet kamino di mana dia akan menyelidiki upaya pembunuhan tersebut.",0
perusahaan komputer raksasa milik chow nunn dan chow lui bersaudara sedang menghadapi krisis yang menegangkan - virus komputer yang kuat dengan cepat memusnahkan jaringan komputer mereka.,0
"selama perburuan, fedot bertemu cintanya marusya - wanita burung ajaib.",0
"dia tiba di kota kecil di welsh, meresahkan kehidupan mantan kekasihnya (redgrave) sambil menginspirasi putri barunya untuk mengikuti jejaknya dengan karier musiknya sendiri, bertentangan dengan keinginan ibunya.",0
"sebagai studi karakter tunggal, itu sempurna. itu juga film termanis tahun ini.",1
"sebuah komedi Skotlandia yang menawan, unik, dan bertempo santai -- kecuali dengan gimmick sentral yang keterlaluan yang bisa jadi merupakan penolakan terhadap makna hidup Monty Python.",1
. . . pemeriksaan yang megah dan pada akhirnya kosong terhadap seorang wanita yang sakit dan jahat.,1
"Berdasarkan kisah nyata, yang tak terhitung adalah kisah Harlan Knowles (Lance Henriksen), miliarder dan presiden industri bio-comp yang mengepalai tim ahli dalam upaya menemukan pesawat perusahaan yang hilang di hutan terpencil di Pasifik. Barat laut .",0
"Lori dan Tom yang menikah muda pindah dari Chicago ke negara tempat mereka akhirnya tinggal bersebelahan dengan Carl, seorang radikal sayap kanan yang memukuli istrinya, Helen.",0
sebuah karya yang tidak memiliki tujuan dan dorongan yang kuat.,1
dia mendapat kesan bahwa rupee sudah mati.,0
"""cold mountain"" bercerita tentang seorang tentara konfederasi yang terluka bernama inman (jude law) yang berjuang dalam perjalanan berbahaya untuk kembali ke rumah di cold mountain, n. C . serta Ada (Nicole Kidman), wanita yang ditinggalkannya sebelum pergi berperang dalam perang saudara.",0
"kebetulan Benigno sedang menjaga wanita lain yang sedang koma, Alicia, seorang siswa balet muda.",0
sebuah keluarga unik memarkir trailernya di gurun Texas dan mencoba membangun lapangan golf impian sang ayah.,0
sebuah drama aneh berlatar dunia model pakaian dalam dan penari bar di midwest yang menarik minat saya justru karena tidak berusaha melakukannya.,1
"dalam suasana kekerasan dan pesimisme ini, penyelamatan dan &#193; ngel , dos p&#237 ; caros de barrio , se ganan la vida mendigando en el metro para sus patatas bravas y sus verm&#250 ; itu kesedihan.",0
"roland meminta bantuan dr. maud bailey, pakar kehidupan wanita tersebut.",0
mereka menjadi monster yang paling ditakuti dalam imajinasi kita.,0
"alasan sebenarnya untuk melihat runteldat adalah untuk menyaksikan lawrence mengerahkan kekuatan empatinya yang dalam dan luas untuk menggambarkan beragam pengalaman seperti melahirkan, menyusui, dan pulih dari penyakit.",1
"namun ia tidak pernah benar-benar pulih, dan seiring berjalannya cerita, kita merasakan sendiri cengkeramannya yang semakin rapuh terhadap kenyataan.",0
"film ini memiliki pesan yang kuat tentang pantang menyerah terhadap orang yang dicintai, namun ini bukanlah film yang mudah untuk ditonton dan mungkin akan mengganggu banyak orang yang melihatnya.",1
"inti dari cerita anjing berbulu lebat, tentu saja, adalah bahwa ia tidak akan kemana-mana, dan ini adalah sebuah tempat klasik dalam segala hal.",1
menawarkan pandangan persuasif mengenai negara yang kalah namun terus berubah.,1
"bersama dengan John Connor, mereka harus menghentikan kebangkitan mesin atau seluruh umat manusia akan jatuh.",0
"akhir dari kepolosan telah dimulai dan jalan baru, gelap dan penuh harapan, menunggu seperti kapal di balik jendelanya.",0
"Meskipun dia dipenjara, West terus melanjutkan penelitian re-animasinya, menggunakan tikus dan mencit sebagai subjeknya, dan menyetrum mereka dengan peralatan jerigen khusus.",0
"film ini memahaminya, dengan cara yang cukup tegas dalam menjelaskan mekanisme kemiskinan sehingga mampu melampaui pembuatan film yang terlalu sederhana.",1
film ini dapat diprediksi dengan cara yang menenangkan seperti lagu liburan yang dinyanyikan dengan indah.,1
"Meskipun karakter dan temperamen mereka sangat mirip, wei dan jie yang berusia 19 tahun adalah teman baik.",0
"""pengakuan pikiran yang berbahaya"" adalah kisah kehidupan ganda seorang pemain sandiwara legendaris - produser televisi di siang hari, cia pembunuh di malam hari.",0
"memadukan unsur-unsur turunan menjadi sesuatu yang sering kali cukup kaya dan menarik, dan selalu indah untuk dilihat.",1
Oh ayolah . sepertinya Anda tidak bisa mencium bau kalkun yang membusuk dari jarak bermil-mil jauhnya.,1
"zhuangzhuang menciptakan keseimbangan halus antara gaya, teks, dan subteks yang begitu sederhana dan tepat sehingga apa pun yang sumbang akan merusak keseimbangan, namun melawan segala rintangan, tidak ada yang berhasil.",1
"masalah yang dihadapi adalah pengujian pada hewan, yang menjadi perhatian elle ketika orang tua anjingnya tidak dapat menghadiri pernikahan hewan peliharaannya karena hal tersebut.",0
mereka semua dihadapkan pada konsekuensi tindakan egois mereka.,0
"tapi keempatnya mengalami kesulitan menghadapinya, dan Steve mendapat tawaran pekerjaan di San Francisco.",0
"keduanya kelebihan beban dan kekurangan gizi. . . film ini tidak bisa disebut sukses besar, meskipun ada banyak bukti di sini yang menunjukkan bahwa clooney mungkin akan lebih beruntung di lain waktu.",1
"pada akhirnya, film tersebut menjadi tidak penting, tidak mengatakan apa pun tentang pembunuhan Kennedy dan tidak mengungkapkan apa pun tentang patologi yang ingin diselidikinya.",1
kesempatan bagus untuk mempelajari lebih lanjut tentang salah satu band rock and roll paling signifikan dan perjuangan kemerdekaan di dunia komunis.,1
"awalnya terkejut hingga tidak percaya, amudha kemudian mengungkapkan tekadnya untuk mencari ibu kandungnya.",0
"film ini bercerita tentang seorang mantan binaragawan juara negara bagian yang sangat cerdas dari kota kecil Ohio yang terobsesi dengan penelitian ilmiahnya dan, akibatnya, membiarkan fisik kelas dunianya hilang.",0
"dia mengambil wanita yang sendirian, menggunakan mereka sebentar untuk suatu pekerjaan, lalu membunuh mereka.",0
kurangnya sudut pandang yang berlawanan segera menjadi melelahkan -- film ini lebih terasa seperti serangkaian acara bersulang pada jamuan makan malam testimonial daripada sebuah film dokumenter.,1
"berfokus pada hormon Joan yang mengamuk dan memukul penonton dengan pertanyaan Spanyol tentang ""kegilaan"" -nya sedemikian rupa sehingga saya menjadi gila sehingga saya menyia-nyiakan 123 menit dan $9. 50 pada alat penyiksaan abad ke-21 ini.",1
pesta pora yang berlebihan dan eksploitasi yang tidak ada gunanya dan tidak ada gunanya.,1
"film ini memadukan laporan berita nyata dengan aktor yang menggambarkan teman, keluarga, polisi, pembunuh, dan penghuni laramie lainnya dengan kata-kata mereka sendiri.",0
"dalam penanganannya terhadap proses pengangguran yang tidak manusiawi dan menghancurkan ego, Time Out menawarkan eksplorasi yang lebih akurat dari apa pun yang pernah saya lihat di film Amerika.",1
"william hundert, pensiunan guru klasik ""sekolah tua"" sangat tertarik dengan mata pelajarannya.",0
"namun seorang guru sekolah memperingatkan kereta tersebut, sehingga geng tersebut dan semua orang di pub tersebut akhirnya terlibat baku tembak dengan sejumlah polisi.",0
"hampir semua hal tentang film ini meresahkan, mulai dari potongan rambut palsu yang tidak masuk akal yang dikenakan oleh ayah Lai yang jahat hingga rangkaian aksi yang tak ada habisnya.",1
sebuah cerita periode tentang seorang anak laki-laki Katolik yang mencoba membantu seorang teman Yahudi masuk surga dengan mengirim penonton langsung ke neraka.,1
"terutama, penontonnya adalah para eksekutif kaya dan bosan.",0
"setelah spiral ke bawah terjadi, fokus otomatis menjadi seperti opera pecandu pada umumnya. . .",1
"setelah lolos dari Jerman dan ranjau nyasar di saluran tersebut, kedua pria tersebut ditangkap di laut dan diinterogasi sebagai mata-mata.",0
"peluang cerita ""cinta mabuk-mabukan"" yang belum dijelajahi mungkin bertentangan dengan niat minimalis pembuatnya, tetapi ini merupakan latihan yang menarik oleh penulis/sutradara berbakat Anderson.",1
"kemanapun dia pergi dia diganggu oleh kucing dan ketika secara kebetulan dia bertemu carol di jalan raya yang sepi, mereka harus memulai perjalanan, menghindari detektif swasta misterius mr barlow dan makhluk tidak manusiawi yang menakutkan jack, untuk mengungkap kebenaran kelam dalam kehidupan charlie.",0
"sebuah pengalaman tak terlupakan yang, seperti kebanyakan karyanya, menghadirkan isu-isu penting yang dibungkus dengan warna-warni dalam aliran niat baiknya yang unik dan norak.",1
"dalam irisan pahit kehidupan kelas pekerja yang lajang di new jersey, sahabat debby dan beth (keduanya berusia tiga puluh) pergi mencari cinta di tempat yang salah - yaitu bar favorit mereka, oliver's.",0
pesona penampilan utama memungkinkan kita melupakan sebagian besar masalah film.,1
hal ini akan membuat Anda berpikir dua kali tentang apa yang mungkin terjadi di dalam setiap tempat parkir trailer yang Anda lewati -- bahkan jika hal tersebut terutama menginspirasi Anda untuk mengemudi sedikit lebih cepat.,1
"tapi keingintahuan yang sia-sia mengarah pada rahasia kelam ketika rebecca dan john berhubungan dengan vera madeline, seorang paranormal online, yang memulai teror mematikan dalam hidup mereka.",0
"bukan pencapaian yang menggemparkan, melainkan sebuah film luar biasa cerdas yang dapat ditonton oleh seluruh keluarga tanpa ada seorang pun yang merasa bosan atau diremehkan.",1
seorang pemburu hadiah sedang mengejar penipu yang melewatkan jaminan.,0
"itu seperti mobil kuno yang terkadang berjalan mulus, dan terkadang terhuyung-huyung dan tersendat-sendat. tapi itu tidak pernah terhenti.",1
"malas, sengsara dan sombong. ini adalah salah satu kekecewaan terbesar tahun ini.",1
"Phillip Noyce dan semua aktornya -- serta sinematografernya, Christopher Doyle -- memahami kekuatan halus dari prosa Greene, dan hal itu ada di layar dalam versi orang Amerika yang pendiam itu.",1
"Meskipun ada peringatan keras dari pamannya, Dean tergoda oleh pengetahuan buku tersebut.",0
"ini bukanlah sinema yang mendalam, namun bersifat baik hati dan terkadang cukup lucu.",1
