teks,is_left,is_center,is_right,is_biased
"Itu sebabnya kaum nasionalis kulit putih, yang mendukung aborsi terhadap orang-orang berkulit hitam dan coklat, membenci kaum pro-kehidupan, sebagaimana yang harus diketahui oleh siapa pun yang melaporkan dengan itikad baik.",0,0,1,1
"Biden sangat kritis terhadap kunjungan Trump pada hari Senin ke sebuah gereja bersejarah di seberang Gedung Putih, yang didahului oleh otoritas penegak hukum yang membubarkan kerumunan di dekat gereja dengan tabung asap dan granat flash.",0,1,0,1
Impian para remaja putri yang ikut serta dalam atletik sekolah menengah dan perguruan tinggi di seluruh negeri telah pupus karena adanya gerakan yang mengizinkan laki-laki kandung yang “mengidentifikasi” sebagai perempuan untuk bersaing dengan mereka.,0,0,1,1
"Berdasarkan kebijakan imigrasi saat ini, ada kemungkinan bahwa penangkapan imigrasi dapat menyebabkan buruknya kesehatan mental dengan meningkatkan ketakutan akan deportasi di antara individu yang tidak memiliki dokumen, keluarga serta tetangga mereka, tulis penulis penelitian.",0,1,0,1
"Migran yang kurang terorganisir, kontrol imigrasi yang lebih ketat oleh otoritas Guatemala dan kehadiran penasihat Amerika telah mengurangi kemungkinan bahwa ratusan migran yang meninggalkan Honduras akan membentuk prosesi kohesif yang sekarang disebut dengan istilah “karavan”.",1,0,0,1
"Trump menyukai dan mendorong kebrutalan negara terhadap orang kulit berwarna, dan khususnya orang kulit hitam. Itu menggairahkan dia dan para pengikutnya yang paling bersemangat. Namun tanggapannya tidak hanya didasarkan pada preferensi pribadi. Hal ini juga didasarkan pada pertimbangan politik.",1,0,0,1
"Para aktivis aborsi, yang memangsa orang-orang yang putus asa, seharusnya tidak lagi menerima uang pajak yang Anda peroleh dengan susah payah.",0,0,1,1
Pemerintahan Trump terus menyangkal temuan perubahan iklim dan membuat laporan ilmiah tidak dapat diakses oleh publik.,1,0,0,1
"Pada bulan-bulan berikutnya, semua jajak pendapat independen menunjukkan bahwa arus utama Amerika tidak hanya menyalahkan Trump dan partainya atas penutupan pemerintahan, namun juga tidak ingin menghabiskan miliaran dolar pembayar pajak untuk pembangunan tembok perbatasan yang tidak efektif dan tidak perlu.",1,0,0,1
"Kendrick, yang, seperti banyak pendukung Planned Parenthood, menyalahkan laki-laki atas undang-undang yang pro-kehidupan sementara dia mengabaikan penyebutan kehidupan bayi yang belum lahir, juga merancang “undang-undang hak testis.",0,0,1,1
"Propaganda aborsi selalu dimaksudkan untuk mengaburkan realitas aborsi, bukan membenarkannya.",0,0,1,1
"Komentar Juara Kelas Menengah UFC Israel Adesanya yang menyebut lawannya akan ""hancur seperti Menara Kembar"", selain mengerikan dan tidak pantas, juga tidak masuk akal.",0,0,1,1
"Namun ketika para peneliti di AS begitu korup hingga masuk penjara, para ilmuwan arus utama masih menerima penelitian mereka.",1,0,0,1
"Donald Trump mendapat kecaman karena sebagian besar menolak menggunakan masker saat menjalankan tugasnya. Hal ini membuat kubu Biden harus mengambil pilihan ketika Joe bangun dari hibernasi politik, dan mereka semua setuju.",0,0,1,1
"Omar yakin USA Powerlifting mendiskriminasi laki-laki yang mengidentifikasi dirinya sebagai perempuan transgender, berdasarkan “mitos” bahwa mereka memiliki “keunggulan kompetitif langsung” dibandingkan perempuan biologis.",0,0,1,1
Umat Kristen harus menjelaskan bahwa pelestarian vaksin yang tidak pantas dan kurangnya alternatif adalah semacam paksaan.,0,0,1,1
"Partai Demokrat sebenarnya tidak ingin menghabiskan miliaran dolar pembayar pajak untuk pembangunan tembok perbatasan yang besar dan tidak efektif, jadi jika Trump mencoba memberikan tawaran yang dirancang untuk memikat mereka, dia harus mengusulkan sesuatu yang (a) sangat besar. ; dan (b) sangat tidak populer di kalangan Partai Republik.",1,0,0,1
"Sebelum kita mulai memberikan argumen-argumen ini, penting untuk mengakui bahwa argumen-argumen tersebut, pada tingkat tertentu, dapat dimengerti. Banyak orang Amerika, terutama mereka yang memperoleh gelar sarjana sebelum awal tahun 2000an, merasa heran bahwa generasi muda tidak dapat menyelesaikan kuliah mereka.",1,0,0,1
"Pada bulan Juli 2019, Rep. Alexandria Ocasio-Cortez, DN.Y., dan anggota Partai Demokrat lainnya mengunjungi pusat pemrosesan serupa di Clint, Texas, dan melontarkan tuduhan yang mengejutkan tentang kondisi di sana.",0,0,1,1
"Hanya karena perhatian kita tertuju pada virus corona, bukan berarti masalah besar – yaitu perubahan iklim – akan hilang begitu saja.",0,1,0,1
"Seperti yang baru-baru ini dilaporkan oleh Breitbart News, pekerja kerah biru Amerika di bidang pertamanan, pekerjaan konservasi, industri pengepakan daging, industri konstruksi, dan pekerjaan perikanan mengalami penurunan upah karena pekerja asing yang diimpor melalui program visa H-2B.",0,0,1,1
"Pada bulan Agustus, Planned Parenthood membuat keputusan untuk tidak ikut serta dalam program hibah keluarga berencana federal, karena mereka menggambarkan diri mereka sebagai korban pemerintahan Trump.",0,0,1,1
Departemen kesehatan negara bagian dan legislator yang mencemooh kekhawatiran orang tua dan menyerukan mandat vaksinasi mengikis kepercayaan orang tua.,0,0,1,1
"Para dokter budak Kuba yang lolos dari sistem mengatakan bahwa, ketika bekerja di luar negeri, rezim Castro memaksa mereka untuk menciptakan pasien dan membuang obat-obatan yang sangat bagus untuk meningkatkan statistik jumlah pasien yang sebenarnya dirawat oleh dokter Kuba.",0,0,1,1
Perenang Olimpiade Inggris Sharron Davies juga mengecam konsep atlet transgender.,0,0,1,1
"Penampilan Biden sangat kontras dengan pendekatan Presiden Partai Republik Donald Trump, yang tidak membuat pernyataan publik besar-besaran untuk mengatasi krisis yang berkembang namun mengeluarkan tweet saat ia tidak terlihat di Gedung Putih.",0,1,0,1
Senator Josh Hawley (R-MO) memperkenalkan dua rancangan undang-undang pada hari Selasa untuk menargetkan “monopoli” yang diciptakan institusi pendidikan tinggi untuk membuat perolehan gelar melibatkan akumulasi hutang mahasiswa yang sangat besar.,0,0,1,1
Pemerintahan Trump belum membangun satu pun pagar perbatasan setelah tiga puluh bulan membuat marah para pendukungnya dengan klaim bahwa tembok itu penting bagi keamanan nasional.,1,0,0,1
"Sebagai bagian dari rencananya untuk melindungi persemakmuran Virginia dari penyebaran virus corona Wuhan, Gubernur Ralph Northam menetapkan bahwa warga negara tidak boleh diizinkan menghadiri gereja atau kebaktian, tetapi boleh pergi ke klinik aborsi dan menjalani prosedur elektif. seperti aborsi bedah.",0,0,1,1
"Banyak orang Amerika yang percaya pada Alkitab, termasuk saya sendiri, sangat terinspirasi pada hari Senin ketika Presiden Trump berdiri di depan Gereja Episkopal St. John, di seberang Gedung Putih, dan mengangkat Firman Tuhan agar dapat dilihat semua orang.",0,0,1,1
"Untuk memperkuat argumen bahwa dokter melahirkan bayi yang layak dalam keadaan hidup dan membiarkan mereka mati, gerakan anti-pilihan juga mengusir sejumlah orang yang mengaku “selamat” dari aborsi.",1,0,0,1
"Shelby Steele, peneliti senior di Hoover Institution Universitas Stanford mengatakan pada hari Jumat bahwa gerakan hak-hak sipil kontemporer di bawah bendera “Black Lives Matter” sangat tidak serius, karena merupakan bentuk viktimisasi lama yang tidak menghasilkan apa pun untuk mengangkat martabat orang kulit hitam.",0,0,1,1
"Para kritikus vaksin, misalnya, telah lama memperjuangkan klaim palsu bahwa vaksin menyebabkan autisme, dan bahwa Pusat Pengendalian dan Pencegahan Penyakit telah berusaha menutupi informasi tersebut, kata Gorski.",1,0,0,1
"Mempunyai bayi itu sulit, merawat bayi itu sulit, kembali bekerja setelah cuti memang sulit, tetapi gaji beberapa minggu tidak sebanding dengan membunuh bayi Anda.",0,0,1,1
"Setelah panggilan telepon itu, polisi meminta pasangan tersebut datang untuk diinterogasi, sehingga mendorong mereka untuk meninggalkan Arab Saudi, negara yang sudah lama dikenal karena undang-undangnya yang kejam terhadap homoseksualitas.",0,0,1,1
Pengemudi di Irlandia akan dipaksa untuk membeli kendaraan listrik dalam waktu sepuluh tahun menurut undang-undang baru yang dikeluarkan oleh pemerintah sayap kiri di Dublin.,0,0,1,1
"Banyak politisi dan kritikus di seluruh dewan telah menyerang Green New Deal yang diusulkan pekan lalu oleh anggota baru dari Partai Demokrat, Alexandria Ocasio-Cortez dari New York dan Senator Ed Markey dari Massachusetts.",1,0,0,1
"Dalam pertarungan politik yang dominan di DC, Donald Trump menginginkan tembok raksasa di sepanjang perbatasan AS/Meksiko.",1,0,0,1
"Ketika persidangan pemakzulan Presiden Donald Trump telah selesai, ia memperluas salah satu kebijakannya yang paling kontroversial dan menghasut dengan sedikit kemeriahan dan sedikit tentangan: larangan bepergian bagi orang-orang dari berbagai negara mayoritas Muslim.",1,0,0,1
Dorongan dari Partai Demokrat di Virginia untuk melonggarkan pembatasan aborsi telat meletus menjadi bentrokan partisan yang sengit ketika video sidang legislatif menjadi viral.,0,1,0,1
"Dan yang paling mengerikan, dalam apa yang mungkin akan dipandang sebagai salah satu aksi paling keliru dalam sejarah kepresidenan, pemerintahan Trump meminta pasukan keamanan federal menggunakan gas air mata dan proyektil untuk mengosongkan Lapangan Lafayette dengan kekuatan senjata sehingga Trump dapat menunjukkan kehebatannya. berjalan ke Gereja St. John dan berpose canggung dengan Alkitab terbalik.",1,0,0,1
"Pastor Daniel Horan, seorang biarawan Fransiskan, seorang pastor dan profesor pro-LGBT yang akan berbicara di Kongres Pendidikan Keagamaan Los Angeles mendatang, menggunakan Twitter pada akhir pekan ini untuk mengecam March for Life dan mengutuk tanpa pengadilan sekelompok siswa sekolah menengah Katolik kulit putih sebagai tindakan yang tidak pantas. “rasis” karena dianggap “mengejek” seorang pria penduduk asli Amerika yang menabuh genderang.",0,0,1,1
"Mengingat prospek yang suram ini, mahasiswa yang kuliah untuk “menemukan diri mereka sendiri” kemungkinan besar akan membuang-buang waktu dan uang yang berharga karena mereka tidak memiliki visi yang jelas.",0,0,1,1
"Orang-orang terus jatuh sakit dan perekonomian terpuruk, namun bagi Partai Republik, kebencian terhadap perempuan masih menjadi prioritas utama: para gubernur Partai Republik di Texas, Ohio, dan bahkan Maryland mencoba menggunakan krisis virus corona sebagai alasan untuk menghalangi perempuan melakukan aborsi, dengan menyatakan bahwa mengakhiri kehamilan adalah prosedur medis “tidak penting” yang harus dijadwal ulang.",1,0,0,1
Perubahan yang dilakukan Times hanyalah salah satu contoh kampanye kecil Orwellian yang muncul di media liberal sejak wabah campak di Disneyland untuk mencoba menulis ulang sejarah dengan menyindir oposisi terhadap vaksin dengan anggapan bahwa kaum konservatiflah yang “anti-sains.” .”,0,0,1,1
"Tidak lama setelah Donald Trump dan timnya menjabat, mereka mencari cara untuk mempermudah para pencemar.",1,0,0,1
Kita dapat mengharapkan dukungan yang semakin besar terhadap hal ini karena beberapa alasan: Pemilih muda dari semua lapisan politik dihadapkan pada sistem pinjaman mahasiswa yang berstatus quo. Pemilih muda juga cenderung tidak menerima istilah “konservatisme” yang beracun.,1,0,0,1
"Presiden Donald Trump pada hari Minggu membual bahwa Partai Republik tidak pernah sekuat atau lebih bersatu daripada sekarang, bahkan ketika sidang pemakzulannya akan dimulai di Senat minggu ini.",1,0,0,1
"Jika olahraga tidak menjadikan agama sebagai candu bagi masyarakat, maka hingga saat ini, olahraga setidaknya telah menjadi musik latar dalam sebagian besar kehidupan kita.",1,0,0,1
Penyangkalan dari kelompok pro-choicer sebanyak apa pun tidak dapat mengubah fakta bahwa banyak ibu pasca-aborsi menanggung kesedihan karena terputusnya ikatan orangtua-anak dengan mereka.,0,0,1,1
"Seorang hakim federal di Tucson, Arizona hari Senin memberikan pukulan terhadap strategi pemerintahan Trump yang mengkriminalisasi pekerjaan bantuan kemanusiaan di sepanjang perbatasan selatan dengan keputusannya untuk membatalkan hukuman terhadap empat sukarelawan atas dasar kebebasan beragama.",1,0,0,1
"Mantan tokoh ESPN Jemele Hill menyerang NFL karena kurangnya pelatih kulit hitam, dan mengecam Aturan Rooney sebagai solusi yang tidak memadai untuk masalah tersebut.",0,0,1,1
Seorang pemimpin gerakan yang mendesak perempuan untuk membual tentang aborsi mempromosikan prosedur aborsi kepada anak-anak dalam video dari Cut's HiHo di saluran YouTube.,0,0,1,1
"Faktanya, skenario pembunuhan bayi setelah mereka lahir seperti yang digambarkan Trump sangatlah salah.",1,0,0,1
"Perdana Menteri Hongaria Viktor Orban, seorang populis anti-imigran yang setia, mengatakan pada hari Rabu bahwa gelombang baru migran yang mencoba melintasi perbatasan dari Turki ke Uni Eropa harus dihentikan sejauh mungkin ke selatan dan pemerintahnya siap membantu garis depan Yunani.",0,1,0,1
"Ketua DPR Nancy Pelosi (D-CA) pada hari Senin melontarkan hiperbolik tentang pemilihan presiden tahun 2020, dengan mengatakan kepada hadirin bahwa “peradaban seperti yang kita tahu sedang dipertaruhkan.”",0,0,1,1
Lelucon Obama tentang parit dengan aligator terlintas di benak saya saat membaca laporan yang baru diterbitkan dari New York Times tentang fanatisme Donald Trump terhadap kebijakan perbatasan.,1,0,0,1
"Kebohongan teatrikal yang berlebihan dari gerakan anti-choice begitu lucu sehingga media arus utama, selama beberapa dekade, enggan meliputnya terlalu dekat, mungkin karena takut bahwa kebohongan tersebut terlalu konyol untuk dipercaya.",1,0,0,1
"Namun, rekor keberhasilan Tiongkok dalam memproduksi vaksin dalam beberapa tahun terakhir sangat buruk sehingga media pemerintah komunis secara terbuka mengakui bahwa mereka lebih suka menggunakan produsen vaksin internasional.",0,0,1,1
Para pembuat undang-undang yang mengaku peduli dengan kesehatan emosional perempuan sebaiknya mendengarkan ratusan ribu perempuan yang mencari layanan aborsi setiap tahun dan mengetahui bahwa ini adalah keputusan yang tepat.,1,0,0,1
"John Oliver mengakui bahwa dia takut pada ""segala sesuatu"", tapi mungkin tidak lebih dari orang tua yang berubah menjadi aktivis yang tampaknya sangat ingin melepaskan wabah baru.",1,0,0,1
"Berdasarkan ukuran apa pun yang masuk akal, pemerintahan Trump adalah salah satu pemerintahan terburuk yang pernah ada dalam hal menghormati, menghargai, dan mengikuti ilmu pengetahuan.",1,0,0,1
"Larangan perjalanan tidak akan mencegah serangan teroris paling mematikan di negara itu dalam beberapa tahun terakhir, yang dilakukan oleh kelompok sayap kanan Amerika, bukan imigran: ekstremis anti-imigran yang membunuh 22 pembeli di sebuah toko di El Paso; penganut supremasi kulit putih yang membunuh 17 siswa dan guru di sebuah sekolah di Parkland, Florida; atau anti-Semit yang membunuh 11 jamaah di sebuah sinagoga di Pittsburgh.",1,0,0,1
"Walaupun banyak kesamaan antara Green New Deal dan konstitusi yang diterapkan oleh diktator sayap kiri Venezuela Hugo Chavez pada tahun 1999 mungkin hanya kebetulan, hal penting untuk diingat adalah bahwa Venezuela di bawah konstitusi barunya telah menjadi zona bencana.",0,0,1,1
"Pemerintah ingin merampas kekuasaan para orang tua, kapan pun ada kesempatan. Apa dampak hal ini terhadap kehidupan keluarga Amerika?",0,0,1,1
"Rencana Pelosi untuk menangani virus corona memanfaatkan pandemi ini untuk menjejalkan ketentuan undang-undang HR 1 Partai Demokrat ke dalam undang-undang federal. Undang-undang tersebut bahkan melangkah lebih jauh dalam upayanya untuk menciptakan celah bagi penipuan pemilih, sehingga memungkinkan para terpidana untuk memberikan suara dalam pemilihan federal.",0,0,1,1
"Hal ini karena meskipun masalah-masalah ini telah terjadi selama berabad-abad, mulai dari perbudakan, Jim Crow, Ferguson, dan seterusnya, kegagalan Donald Trump sebagai pribadi dan kandidat semakin memperparah krisis ini.",1,0,0,1
"Dalam beberapa hal, tahun 2020 terasa seperti tahun 1968. Pasukan federal dan polisi setempat bentrok dengan orang kulit hitam yang muak dengan kebrutalan dan diskriminasi polisi. Orang-orang Amerika mengalami kematian dalam jumlah besar dan mengkhawatirkan – kemudian, dalam perang Vietnam; sekarang, ketika pandemi virus corona menyebar ke seluruh negara. Orang Amerika marah.",1,0,0,1
"Hal ini juga berlaku bagi siswa yang tertarik untuk diterima sebagai mahasiswa di perguruan tinggi nirlaba, yang hampir tidak menawarkan keterampilan atau kesiapan karier yang dapat dipasarkan untuk mengimbangi biayanya. Dan hal ini lebih lanjut menggambarkan lulusan perguruan tinggi baru-baru ini yang, karena ketidaksengajaan waktu, memasuki dunia nyata selama Resesi Hebat dan setelahnya, merasa sulit untuk mendapatkan pekerjaan di bidang studi mereka.",1,0,0,1
"Meskipun telah menyelamatkan jutaan nyawa, vaksin masih ditanggapi dengan skeptis oleh sekelompok kecil penganut teori konspirasi yang terus berkembang. Dan Donald Trump, “manusia megafon yang merupakan presiden Amerika Serikat,” hanya memperburuk keadaan dengan mendukung “jadwal vaksin alternatif.”",1,0,0,1
Para pendukung perlindungan yang lebih ketat bagi mahasiswa berpendapat bahwa pembatalan peraturan era Obama yang baru-baru ini dilakukan oleh DOE yang bertujuan melindungi mahasiswa dari perguruan tinggi nirlaba yang predator hanya akan menyebabkan semakin banyak mahasiswa yang gagal membayar kembali pinjaman mereka.,1,0,0,1
Salah satu pendiri Greenpeace dan mantan presiden Greenpeace Kanada Patrick Moore menjelaskan kepada Breitbart News bagaimana semangat asli Greenpeace dalam merayakan kemanusiaan direnggut oleh visi Malthus yang anti-manusia.,0,0,1,1
"Di tengah tekanan dari Washington, Meksiko membatalkan janjinya untuk memberikan perlakuan yang lebih baik bagi para migran Amerika Tengah, menyebabkan ratusan orang terdampar di kamp-kamp yang tidak sehat di dekat perbatasan selatannya dan adanya tuduhan penahanan yang tidak teratur.",0,1,0,1
"Hal ini merupakan hal positif bagi prospek pemilu partai tersebut, setelah pemilihan pendahuluan yang terfragmentasi. Sayangnya, orang-orang yang dipilih untuk gugus tugas tersebut menunjukkan bagaimana tidak hanya partai mapan, tetapi bahkan pemberontak progresif seperti Sanders, lebih mengutamakan topik-topik tertentu dibandingkan topik lainnya. Satuan tugas reformasi peradilan pidana sungguh luar biasa.",1,0,0,1
"Setelah bertahun-tahun secara terbuka berjuang dengan berat badannya (dan kesehatannya) dan tampaknya mengambil cuti panjang dari kuliah politik setelah mendukung Hillary Clinton di tahun '16, aktris Lena Dunham mengumumkan kepada dunia bahwa omelan Joaquin Phoenix yang tidak tertahan di Oscar terhadap lingkunganlah yang telah membuatnya ingin menjadi vegan.",0,0,1,1
"Kampanye kepresidenan Donald Trump dan banyak kebijakan pemerintahannya memanfaatkan ancaman yang ditimbulkan oleh pengungsi, pencari suaka, dan migran lainnya.",1,0,0,1
Gugatan yang masuk ke pengadilan berupaya untuk mempertimbangkan kebebasan beragama Yahudi Ortodoks dengan kepentingan kesehatan masyarakat yang buruk dan mendesak.,0,0,1,1
"Ketika dunia seperti yang kita tahu ini akan berakhir lebih cepat dari perkiraan, dengan sebagian besar wilayah Australia terjebak dalam kebakaran hutan yang tidak dimulai oleh perubahan iklim, namun sudah pasti menjadi lebih buruk, CEO Amazon Jeff Bezos mendapat sambutan hangat atas pengumumannya bahwa perusahaan dengan nama yang terlalu ironis ini akan menyumbangkan sekitar $690.000 ke Australia untuk membantu memerangi kebakaran yang sedang berlangsung.",1,0,0,1
Salah satu kasus pengaturan pertandingan sepak bola yang paling terkenal diselesaikan pada hari Kamis ketika seorang wasit yang terkenal karena keputusannya yang korup dilarang seumur hidup.,0,1,0,1
"Sebagai bagian dari rencana Pelosi dalam menangani virus corona, anggota DPR dari Partai Demokrat melakukan beberapa langkah dalam undang-undang HR 1 mereka yang akan menerapkan pengambilan suara secara nasional untuk pemilu federal – yang secara efektif memungkinkan agen politik untuk mengumpulkan dan mengirimkan surat suara yang tidak hadir dalam jumlah tak terbatas dari para pemilih.",0,0,1,1
"Salah satu hal yang membuat undang-undang Alabama luar biasa adalah kesederhanaannya yang radikal: undang-undang tersebut melarang semua aborsi, pada setiap tahap kehamilan.",1,0,0,1
"Angka pengangguran yang tinggi di kalangan warga negara kelahiran asing telah menjadi masalah yang melanda Swedia selama bertahun-tahun, dan laporan sering kali menunjukkan tingkat pengangguran migran beberapa kali lebih tinggi dibandingkan tingkat pengangguran penduduk asli Swedia.",0,0,1,1
"Daripada mengurangi subsidi federal kepada universitas-universitas dan menempatkan lembaga-lembaga sayap kiri di bawah kekuasaan pasar bebas, Obama ingin meningkatkan jumlah pinjaman yang bisa dipinjam mahasiswa beserta bunganya dari pemerintah.",0,0,1,1
"Tentu saja, beberapa orang mungkin memprioritaskan Netflix dan latte bumbu labu daripada pembayaran pinjaman mahasiswa dan kontribusi pensiun. Namun bagi orang-orang seperti David (bukan nama sebenarnya), seorang pria berusia 32 tahun yang tinggal di Harlem, New York, biaya perbankan menghabiskan sebagian besar pendapatannya.",1,0,0,1
Kritik terhadap kebijakan imigrasi pemerintahan Trump mengatakan kebijakan tersebut melanggar hak-hak migran dan semakin membahayakan mereka dengan membuat mereka menunggu di kota-kota perbatasan yang berbahaya atau di salah satu negara paling kejam di dunia yang tidak memiliki sistem suaka yang kuat.,1,0,0,1
"Kini, dengan Partai Demokrat yang menguasai Dewan Perwakilan Rakyat setelah pemilu sela, dan dengan negara-negara bagian seperti New York dan Virginia yang mendorong pembatasan aborsi secara ekstrem, Partai Republik di Kongres melancarkan dorongan jangka panjang untuk memaksa Partai Demokrat untuk melakukan hal tersebut. mengadakan pemungutan suara pada RUU tersebut.",0,0,1,1
"Semenya, juara Olimpiade dua kali di nomor 800 meter, kini harus menjalani pengobatan untuk menekan kadar testosteronnya jika ingin mempertahankan gelar dunianya pada September di Doha, Qatar.",0,0,1,1
"Terlepas dari gambaran budaya populer yang digambarkan di media, dari generasi Milenial yang disurvei, hanya tujuh persen yang mendukung aborsi tanpa pengecualian dan didanai oleh uang pembayar pajak – posisi yang dianut oleh Partai Demokrat.",0,0,1,1
Lima pilihan Biden adalah ciri khas kaum sentris yang ingin memangkas sistem peradilan kita yang kejam dan membengkak tanpa mengubah apa pun secara sistematis.,1,0,0,1
"Para petinggi Partai Demokrat yang mencalonkan diri sebagai presiden pada tahun 2020 telah mendukung dan mendukung Green New Deal yang radikal dari Sosialis Demokrat Alexandria Ocasio-Cortez yang bertujuan, antara lain, untuk menghilangkan perjalanan udara.",0,0,1,1
"Seperti yang ditunjukkan di bawah ini, perempuan dirugikan oleh Planned Parenthood, dan kelompok rentan –– seperti korban pelecehan seksual dan bayi dalam kandungan –– dikorbankan demi keuntungan dan kemajuan politik.",0,0,1,1
"Facebook, YouTube, dan Amazon meresponsnya dengan perubahan kebijakan, dengan menghapus beberapa konten yang menyebarkan rasa takut terkait vaksin.",1,0,0,1
Biaya kuliah perguruan tinggi meningkat pada saat yang sama ketika pemerintah federal memulai dan mengelola 93 persen dari seluruh pinjaman mahasiswa dan telah meluncurkan program pengampunan pinjaman mahasiswa yang liberal – yang semuanya berarti beban meningkatnya jumlah utang mahasiswa telah ditanggung. oleh pembayar pajak pada saat yang sama rata-rata mahasiswa menghabiskan lebih sedikit waktu untuk belajar.,0,0,1,1
"Seorang alien ilegal telah didakwa membujuk seorang gadis berusia 13 tahun melalui media sosial dan memperkosanya di Madison County, Alabama.",0,0,1,1
"Pada bulan Oktober, Breitbart London melaporkan bahwa polisi Perancis diduga secara aktif membantu para migran untuk menghindari deteksi oleh Pasukan Perbatasan Inggris, memberi tahu mereka kapan dan kapan untuk tidak mencoba melintasi saluran tersebut, menurut seorang penyelundup manusia.",0,0,1,1
Badan legislatif Negara Bagian New York telah menerapkan salah satu undang-undang aborsi paling radikal di Amerika Serikat setelah pemungutan suara di kedua kamar pada hari Selasa. Undang-undang ini dimaksudkan untuk mengedepankan “hak fundamental” untuk melakukan aborsi dan mengakhiri perlindungan sejak bayi dalam kandungan hingga saat lahir.,0,0,1,1
Senator Partai Demokrat Mengatakan Program Pinjaman Mahasiswa yang Salah Kelola Mengacaukan Ribuan Orang,1,0,0,1
"Sepak bola mendukung Trump dalam mendorong perpecahan rasial, menghancurkan perbedaan pendapat, dan menyebarkan informasi yang salah, ketidaksetaraan, dan kebrutalan.",1,0,0,1
"Sejauh ini dalam kampanye presiden tahun 2020, Biden dengan sembrono meremehkan ancaman dari Tiongkok, namun kemudian menarik kembali komentarnya ketika ia menghadapi reaksi balik.",0,0,1,1
Meskipun Thunberg mampu melakukan hal-hal yang ditolak oleh banyak kelompok sayap kanan – seperti membaca dan memahami bukti ilmiah – kelompok sayap kanan berpendapat bahwa Thunberg dan rekan-rekan aktivis pemudanya tidak dapat berpikir sendiri.,1,0,0,1
