text,subjectivity_score,objectivity_score
cemerlang,0.6363636363636364,0.3636363636363636
hadirin,0.0,1.0
melanggar,0.5,0.5
anggun,1.0,0.0
posisi,0.25,0.75
vital,0.2857142857142857,0.7142857142857143
kekhawatiran,0.5,0.5
pelanggaran,0.2,0.8
muncul,0.2857142857142857,0.7142857142857143
mengeklaim,0.4,0.6
menunjukkan,0.1666666666666666,0.8333333333333334
tempat berlindung,0.0,1.0
suasana,0.3333333333333333,0.6666666666666666
padat,0.3571428571428571,0.6428571428571429
bebas,0.1111111111111111,0.8888888888888888
menyinggung,0.8,0.2
pandangan,0.6666666666666666,0.3333333333333333
tantangan,0.5,0.5
serius,1.0,0.0
menyerang,0.2222222222222222,0.7777777777777778
tekanan,0.4285714285714285,0.5714285714285714
Sehat,0.6153846153846154,0.3846153846153846
menolak,0.2857142857142857,0.7142857142857143
mengalahkan,0.5,0.5
perjanjian,0.5,0.5
tenang,0.5,0.5
balok,0.6,0.4
pendapat,0.6666666666666666,0.3333333333333333
menangkap,0.3,0.7
sekop,0.1666666666666666,0.8333333333333334
keuntungan,0.3333333333333333,0.6666666666666666
setia,0.3333333333333333,0.6666666666666666
berkolaborasi,0.5,0.5
menimbulkan perasaan cinta,1.0,0.0
derajat,0.0,1.0
divisi,0.0833333333333333,0.9166666666666666
menyelesaikan,0.6,0.4
radikal,0.4,0.6
manuver,0.3333333333333333,0.6666666666666666
berpesta,0.0,1.0
mengkonsumsi,0.3333333333333333,0.6666666666666666
tuli,0.5,0.5
memukul,0.3636363636363636,0.6363636363636364
sederhana,0.2857142857142857,0.7142857142857143
memperkirakan,0.8,0.2
jalan,0.25,0.75
ekspresi,0.3333333333333333,0.6666666666666666
Lihat,0.6,0.4
memisahkan,0.25,0.75
menikmati,0.6,0.4
melibatkan,0.1,0.9
penerimaan,0.4444444444444444,0.5555555555555556
meninggalkan,0.6,0.4
mencaci,1.0,0.0
mengonfrontasi,0.6666666666666666,0.3333333333333333
sempurna,0.5,0.5
panas,0.5,0.5
dermawan,1.0,0.0
pertimbangan,0.7142857142857143,0.2857142857142857
alami,0.1153846153846153,0.8846153846153846
pemujaan,1.0,0.0
berdiri,0.3333333333333333,0.6666666666666666
meniup,0.2857142857142857,0.7142857142857143
mengakui,0.1428571428571428,0.8571428571428571
kesulitan,0.2,0.8
menyita,0.0,1.0
tantangan,0.4,0.6
minat,0.5714285714285714,0.4285714285714285
menyerap,0.4285714285714285,0.5714285714285714
sederhana,0.6666666666666666,0.3333333333333333
gambar,0.3333333333333333,0.6666666666666666
darah,0.4,0.6
merasa,1.0,0.0
tinggal,0.5,0.5
alam,0.2857142857142857,0.7142857142857143
ketegangan,0.3333333333333333,0.6666666666666666
membela,0.3333333333333333,0.6666666666666666
menghormati,0.8571428571428571,0.1428571428571428
Bagus,0.5,0.5
mencoba,0.2222222222222222,0.7777777777777778
pertunjukan,0.0,1.0
merindukan,0.2727272727272727,0.7272727272727273
diskriminasi,0.5,0.5
bunga,0.0,1.0
tersedak,0.3846153846153846,0.6153846153846154
persetujuan,0.5,0.5
miskin,0.4,0.6
aneh,0.3333333333333333,0.6666666666666666
kehilangan,0.1538461538461538,0.8461538461538461
depresi,0.2222222222222222,0.7777777777777778
mengganggu,0.9166666666666666,0.0833333333333333
menekankan,0.3333333333333333,0.6666666666666666
bugar,0.5,0.5
berjuang,0.6666666666666666,0.3333333333333333
sumber,0.1111111111111111,0.8888888888888888
cepat,0.3333333333333333,0.6666666666666666
ekstrim,0.5,0.5
melecehkan,0.3333333333333333,0.6666666666666666
kertas,0.0,1.0
beban,0.25,0.75
memaksa,0.375,0.625
rencana,0.3333333333333333,0.6666666666666666
membunuh,0.5,0.5
sentimen,1.0,0.0
mengasyikkan,1.0,0.0
meninggalkan,0.5,0.5
aktif,0.1428571428571428,0.8571428571428571
tuntutan,0.4,0.6
argumen,0.8,0.2
siap,0.5,0.5
memperoleh,0.3333333333333333,0.6666666666666666
ramah,0.5,0.5
musuh,0.5,0.5
gelandangan,0.5,0.5
mohon,1.0,0.0
otak,0.6,0.4
bank,0.0,1.0
kejahatan,0.5,0.5
migrasi,0.0,1.0
memutarbalikkan,0.4,0.6
memutuskan,0.5,0.5
minat,0.2857142857142857,0.7142857142857143
terakhir,0.5,0.5
titik,0.2272727272727272,0.7727272727272727
kembali,0.3,0.7
argumen,0.6,0.4
lengan,0.0,1.0
